scenario,description,delay_steps,time_step,initial_density_population,g_oct_stiffness,dephasing_gamma,numerical_tolerance,topology,geometry_scale,final_rho,final_distortion,peak_distortion,mean_distortion,peak_effective_source,mean_abs_source_gap,null_test_passed
tolerance_loose,Looser numerical tolerance.,1,0.1,1.0,3.5,0.05,1e-06,octa,1.0,0.09652198468415261,0.18769944713674047,0.18769944713674047,0.1851328759241899,1.05,0.0,True
tolerance_loose,Looser numerical tolerance.,2,0.1,1.0,3.5,0.05,1e-06,octa,1.0,0.09619377359972248,0.18769895469935596,0.18769895469935596,0.1844912553294615,1.05,0.17497515323890847,True
tolerance_loose,Looser numerical tolerance.,5,0.1,1.0,3.5,0.05,1e-06,octa,1.0,0.09595612129825877,0.1875471585838447,0.1875471585838447,0.18256947403624857,1.05,0.5534384727939602,True
tolerance_tight,Tighter numerical tolerance.,0,0.1,1.0,3.5,0.05,1e-12,octa,1.0,0.09652198484592013,0.18769944929492055,0.18769944929492055,0.18513287736693865,1.05,0.0,True
tolerance_tight,Tighter numerical tolerance.,1,0.1,1.0,3.5,0.05,1e-12,octa,1.0,0.09652198484592013,0.18769944929492055,0.18769944929492055,0.18513287736693865,1.05,0.0,True
tolerance_tight,Tighter numerical tolerance.,2,0.1,1.0,3.5,0.05,1e-12,octa,1.0,0.0961937736682633,0.1876989568574018,0.1876989568574018,0.18449125659236196,1.05,0.17497515323890847,True
tolerance_tight,Tighter numerical tolerance.,5,0.1,1.0,3.5,0.05,1e-12,octa,1.0,0.09595612129907126,0.18754716070047053,0.18754716070047053,0.182569474760444,1.05,0.5534384727939602,True
topology_ring,Ring graph topology with the same six-node size.,0,0.1,1.0,3.5,0.05,1e-09,ring_6,1.0,0.04815834737926689,0.1838863657930199,0.1838863657930199,0.18258734846039976,0.525,0.0,True
topology_ring,Ring graph topology with the same six-node size.,1,0.1,1.0,3.5,0.05,1e-09,ring_6,1.0,0.04815834737926689,0.1838863657930199,0.1838863657930199,0.18258734846039976,0.525,0.0,True
topology_ring,Ring graph topology with the same six-node size.,2,0.1,1.0,3.5,0.05,1e-09,ring_6,1.0,0.04807578665181184,0.18388611389005266,0.18388611389005266,0.18226348464431477,0.525,0.08748757661945424,True
topology_ring,Ring graph topology with the same six-node size.,5,0.1,1.0,3.5,0.05,1e-09,ring_6,1.0,0.04801606131857363,0.1838084932921693,0.1838084932921693,0.1812934688870925,0.525,0.2767192363969801,True
topology_chain,Chain graph topology with the same six-node size.,0,0.1,1.0,3.5,0.05,1e-09,chain_6,1.0,0.04011545291831557,0.1832437579237293,0.1832437579237293,0.1821590436673568,0.43750000000000006,0.0,True
topology_chain,Chain graph topology with the same six-node size.,1,0.1,1.0,3.5,0.05,1e-09,chain_6,1.0,0.04011545291831557,0.1832437579237293,0.1832437579237293,0.1821590436673568,0.43750000000000006,0.0,True
topology_chain,Chain graph topology with the same six-node size.,2,0.1,1.0,3.5,0.05,1e-09,chain_6,1.0,0.04005807235552523,0.18324354720630492,0.18324354720630492,0.18188873050704604,0.43750000000000006,0.07290631384954521,True
topology_chain,Chain graph topology with the same six-node size.,5,0.1,1.0,3.5,0.05,1e-09,chain_6,1.0,0.04001657094498783,0.1831786215275647,0.1831786215275647,0.18107910907961494,0.43750000000000006,0.23059936366415013,True
topology_star,Star graph topology with the same six-node size.,0,0.1,1.0,3.5,0.05,1e-09,star_6,1.0,0.04011545291831557,0.1832437579237293,0.1832437579237293,0.1821590436673568,0.43750000000000006,0.0,True
topology_star,Star graph topology with the same six-node size.,1,0.1,1.0,3.5,0.05,1e-09,star_6,1.0,0.04011545291831557,0.1832437579237293,0.1832437579237293,0.1821590436673568,0.43750000000000006,0.0,True
topology_star,Star graph topology with the same six-node size.,2,0.1,1.0,3.5,0.05,1e-09,star_6,1.0,0.04005807235552523,0.18324354720630492,0.18324354720630492,0.18188873050704604,0.43750000000000006,0.07290631384954521,True
topology_star,Star graph topology with the same six-node size.,5,0.1,1.0,3.5,0.05,1e-09,star_6,1.0,0.04001657094498783,0.1831786215275647,0.1831786215275647,0.18107910907961494,0.43750000000000006,0.23059936366415013,True
topology_complete,Complete graph topology with the same six-node size.,0,0.1,1.0,3.5,0.05,1e-09,complete_6,1.0,0.12075425992589464,0.18957886378731192,0.18957886378731192,0.1863901416271884,1.3125,0.0,True
topology_complete,Complete graph topology with the same six-node size.,1,0.1,1.0,3.5,0.05,1e-09,complete_6,1.0,0.12075425992589464,0.18957886378731192,0.18957886378731192,0.1863901416271884,1.3125,0.0,True
topology_complete,Complete graph topology with the same six-node size.,2,0.1,1.0,3.5,0.05,1e-09,complete_6,1.0,0.12024343704038912,0.18957825524458535,0.18957825524458535,0.18559190297824574,1.3125,0.21871894154863558,True
topology_complete,Complete graph topology with the same six-node size.,5,0.1,1.0,3.5,0.05,1e-09,complete_6,1.0,0.11987345071625594,0.18939063326617814,0.18939063326617814,0.18320099396739825,1.3125,0.6917980909924504,True
geometry_soft,Smaller initial octahedral register amplitudes.,0,0.1,1.0,3.5,0.05,1e-09,octa,0.5,0.04853655963590097,0.09703131526322717,0.09703131526322717,0.09468746238749967,1.05,0.0,True
geometry_soft,Smaller initial octahedral register amplitudes.,1,0.1,1.0,3.5,0.05,1e-09,octa,0.5,0.04853655963590097,0.09703131526322717,0.09703131526322717,0.09468746238749967,1.05,0.0,True
geometry_soft,Smaller initial octahedral register amplitudes.,2,0.1,1.0,3.5,0.05,1e-09,octa,0.5,0.04823585239031796,0.0970308655578899,0.0970308655578899,0.09410151944889741,1.05,0.17497515323890847,True
geometry_soft,Smaller initial octahedral register amplitudes.,5,0.1,1.0,3.5,0.05,1e-09,octa,0.5,0.04801795829173554,0.0968922417947797,0.0968922417947797,0.09234650380949685,1.05,0.5534384727939602,True
geometry_strong,Larger initial octahedral register amplitudes.,0,0.1,1.0,3.5,0.05,1e-09,octa,1.5,0.14435078720477476,0.27836758332230205,0.27836758332230205,0.2755782923434951,1.05,0.0,True
geometry_strong,Larger initial octahedral register amplitudes.,1,0.1,1.0,3.5,0.05,1e-09,octa,1.5,0.14435078720477476,0.27836758332230205,0.27836758332230205,0.2755782923434951,1.05,0.0,True
geometry_strong,Larger initial octahedral register amplitudes.,2,0.1,1.0,3.5,0.05,1e-09,octa,1.5,0.14399602779052342,0.27836704815260205,0.27836704815260205,0.27488099373330327,1.05,0.17497515323890847,True
geometry_strong,Larger initial octahedral register amplitudes.,5,0.1,1.0,3.5,0.05,1e-09,octa,1.5,0.1437394654832386,0.27820207960193244,0.27820207960193244,0.2727924457099442,1.05,0.5534384727939602,True
